job_title,company,location,job_summary,salary,post_date,job_url
Junior UX Designer,Brilliant Experience,"New York, NY",,Brilliant Experience’s team works directly with clients to make research-driven and human-centered product and service design recommendations.,https://www.indeed.com//rc/clk?jk=c1e5914cb1546554&fccid=a4af4e45c3cd3dee&vjs=3,30+ days ago
UI/UX DESIGNER – FREELANCE/CONTRACT,F. Schumacher & Co.,"New York, NY",,"Now we are looking for a Freelance UX/UI Designer to help Digital Product team and help take this momentum to new heights.
1-2 years of related experience.",https://www.indeed.com//rc/clk?jk=0717f61af36e5baf&fccid=0927f6330c6efafa&vjs=3,5 days ago
"Digital Designer, NYC Studio",Nike,"New York, NY",,"You’ll deliver holistic design solutions across all appropriate channels, with a passion for creativity, and a dedication to current and future trends and…",https://www.indeed.com//rc/clk?jk=959147fc75f58075&fccid=2c62e4de04b8f952&vjs=3,11 days ago
"Product Designer, The New Yorker",Conde Nast,"New York, NY",,"As a member of the Product Design team, you will closely partner with UX writers and researchers, as well as a cross-functional product, engineering, marketing,…",https://www.indeed.com//rc/clk?jk=5574ba52c9a209b3&fccid=7ca1385998532a85&vjs=3,20 days ago
Designer,Weber Shandwick,"New York, NY",,"Food brands, from cookies to lobster and a few things in between.
Animation skills for digital content, social posts, and presentations.",https://www.indeed.com//rc/clk?jk=66c62b13f67750eb&fccid=6576828d514f6f5c&vjs=3,9 days ago
"Digital Designer, NYC Studio",Nike,"New York, NY",,"You’ll deliver holistic design solutions across all appropriate channels, with a passion for creativity, and a dedication to current and future trends and…",https://www.indeed.com//rc/clk?jk=959147fc75f58075&fccid=2c62e4de04b8f952&vjs=3,11 days ago
"Product Designer, The New Yorker",Conde Nast,"New York, NY",,"As a member of the Product Design team, you will closely partner with UX writers and researchers, as well as a cross-functional product, engineering, marketing,…",https://www.indeed.com//rc/clk?jk=5574ba52c9a209b3&fccid=7ca1385998532a85&vjs=3,20 days ago
Designer,Weber Shandwick,"New York, NY",,"Food brands, from cookies to lobster and a few things in between.
Animation skills for digital content, social posts, and presentations.",https://www.indeed.com//rc/clk?jk=66c62b13f67750eb&fccid=6576828d514f6f5c&vjs=3,9 days ago
"UI/UX Designer, Personalization",Ralph Lauren,"New York, NY",,"You will develop responsive design systems for RalphLauren.com, with a specific focus on developing personalized experiences and consumer journeys for our Ralph…",https://www.indeed.com//rc/clk?jk=894d4eeebbe6fc60&fccid=535de7c767791408&vjs=3,27 days ago
INTERACTION DESIGNER,DEPARTMENT OF CITY PLANNING,"Manhattan, NY","$85,000 - $95,000 a year","The Department of City Planning (DCP) plans for the strategic growth and development of the City through ground-up planning with communities, the development of…",https://www.indeed.com//rc/clk?jk=4ac443b5c8c0fb29&fccid=6bacca8eb2cba6d2&vjs=3,30+ days ago
Junior Designer,"Organic, Inc.","New York, NY",,"Organic is primarily a remote working agency that comes together for purposeful, in-person gatherings—think project milestones, client meetings, and team…",https://www.indeed.com//rc/clk?jk=b99f5b5b5acd0d2f&fccid=5ea1a04b197eae01&vjs=3,5 days ago
Product Designer,charity: water,"New York, NY",,This role reports to the Product Design Lead and brings a perspective of product sensibility and simplifying complexity to the broader cross-functional design…,https://www.indeed.com//rc/clk?jk=80b8a6df70bb1c4a&fccid=eb9a38460cbcb6a7&vjs=3,2 days ago
Product Designer,The Knot Worldwide,"New York, NY",,"We are looking for a full-stack product designer to join the Planning & Guest zone at The Knot.
1-2 years of experience as a full-stack product designer, with…",https://www.indeed.com//rc/clk?jk=4f9b7560c6ab4ae4&fccid=9dfa21d4f987c176&vjs=3,6 days ago
CWM – PWM - UX/UI Designer - Associate - New York City,Goldman Sachs,"New York, NY",,"Partnering with other UX/UI designers and developers to deploy user-friendly mobile-first customer experiences.
A passion for simplicity and user empathy.",https://www.indeed.com//rc/clk?jk=4eaf6f2b2da1012e&fccid=16a97ed26c75bf2d&vjs=3,30+ days ago
Content Designer,Facebook,"New York, NY",,"You’ll be expected to design and deliver product flows, new features, in-product messaging, content frameworks, navigation, product naming and more for all…",https://www.indeed.com//rc/clk?jk=df6fc69ed6ac2bac&fccid=1639254ea84748b5&vjs=3,30+ days ago
Digital Designer - Remote,Genome,"New York, NY",,"Complete projects both independently and in partnership with other designers.
Work collaboratively with designers and developers on defining requirements,…",https://www.indeed.com//rc/clk?jk=3d82c65a389229e4&fccid=96bdd951ee59950d&vjs=3,30+ days ago
Experience Designer,Northwestern Mutual,"New York, NY",,"You an advocate for design process and methods, and have experience teaching non-designers how they can make use of them and gain value from their practice for…",https://www.indeed.com//rc/clk?jk=82a736b944d40173&fccid=f2cbb7715eae48aa&vjs=3,5 days ago
Jr UX Architect,FCB Global,"New York, NY",,"At FCB Health, The Jr. UX Architect designs the experience of a wide variety of applications and websites for some of the world's biggest brands.",https://www.indeed.com//rc/clk?jk=abbaf381750cd856&fccid=b4460b1bac9048e7&vjs=3,4 days ago
Junior UI Designer,Penguin Random House LLC,"New York, NY",,"You will work closely with our interdisciplinary team of UX, UI, branding and Ad-Promo designers.
You will be responsible for assisting the Sr. Art Director in…",https://www.indeed.com//rc/clk?jk=d408f073ccf6feb6&fccid=2e55c073eaa56262&vjs=3,24 days ago
Senior UX Designer,Perch Interactive,"New York, NY",,Perch is the retail digital engagement platform that detects which products shoppers are touching at the shelf and respond with product-level media and…,https://www.indeed.com//rc/clk?jk=7d9e8bc94537e721&fccid=7ed911ca47636a6e&vjs=3,Just posted
UX Designer,"TPR Education, LLC","New York, NY",,"As a UX Designer within the Online team, you will produce end-to-end UX design deliverables for cross-platform experiences creating wireframes and interactive…",https://www.indeed.com//rc/clk?jk=f94681aeda7af851&fccid=c53c6e8b6c6434b3&vjs=3,30+ days ago
User Experience Designer,Kroll,"New York, NY",,"As a UX Designer, you will support agile product development initiatives, working closely with product owners, the engineering team and other internal…",https://www.indeed.com//rc/clk?jk=a14fbc3fc0e7ec8d&fccid=2991547aff717aed&vjs=3,16 days ago
Jr UX Designer,TelTech,"New York, NY",,"You will work within multiple teams of Designers, Engineers, and Product Managers to drive UX goals throughout all phases of the product life cycle.",https://www.indeed.com//rc/clk?jk=397cb1dbb6ecda7d&fccid=dc696694435183e3&vjs=3,30+ days ago
"CWM - PFM - UX/Product Designer - Associate/Vice President - New York City/Dallas, TX/Miami, FL",Goldman Sachs,"New York, NY",,"Partnering with other UX/UI designers and developers to deploy user-friendly mobile-first customer experiences.
A passion for simplicity and user empathy.",https://www.indeed.com//rc/clk?jk=7f0edca39ad99b33&fccid=16a97ed26c75bf2d&vjs=3,5 days ago
Web UX/UI Designer,PGP (The Public Good Projects),"New York, NY","$65,000 - $80,000 a year","PGP (The Public Good Projects) is seeking a new role, a full-time Web UX/UI Designer who will report to the Director of Web and assist a lead UX/UI Designer.",https://www.indeed.com//rc/clk?jk=f2a91796988b7026&fccid=76466d81e815018d&vjs=3,30+ days ago
"CIB - UI Visual Designer, Vice President","JPMorgan Chase Bank, N.A.","New York, NY",,"Minimum of 5 years' experience working in a professional capacity as a visual designer.
As a design team, we delve into the problem-space by leveraging any one…",https://www.indeed.com//rc/clk?jk=0b83ea7c81f79141&fccid=aaf3b433897ea465&vjs=3,Today
Designer,Ironpaper,"New York, NY",,"We are seeking to hire an experienced digital designer with a strong portfolio in graphic design or interactive/web design.
Work from Home & Paid Time Off.",https://www.indeed.com//rc/clk?jk=618400733f726347&fccid=2e0f57128c753e91&vjs=3,30+ days ago
Graphic Designer,Comcast,"Bloomfield, NJ",,"Comcast Advertising is seeking a graphic design virtuoso who is energized by the opportunity to bring brand guidelines to life, work on complicated projects and…",https://www.indeed.com//rc/clk?jk=afedc71b3830a260&fccid=ea25315ee9da22e5&vjs=3,10 days ago
User Experience Design Operations Associate,Prudential,"Newark, NJ",,"As a Design Operations Specialist , you will support and execute program management activities, in support for our design organization, partner with teams and…",https://www.indeed.com//rc/clk?jk=6c659f28c6233777&fccid=4144c0c6235e4037&vjs=3,11 days ago
Junior Designer,Organic,"New York, NY",,"As a Junior Designer, you are responsible for the conception and execution of high-quality, creative and professional-looking marketing and communications…",https://www.indeed.com//rc/clk?jk=3e8c0649bca0e3b9&fccid=5ea1a04b197eae01&vjs=3,30+ days ago
UX Designer: Experienced,Jane Street,"New York, NY",,Experienced with a wide enough range of industry tools to help us determine which ones are right for each job.,https://www.indeed.com//rc/clk?jk=f0e686eeb07ad385&fccid=0e38ef958e252f1e&vjs=3,4 days ago
UX Designer,Wiley,"Hoboken, NJ",,"2-3+ years of experience designing for consumer software systems.
Native Mobile and Web Software applications that have shipped.",https://www.indeed.com//rc/clk?jk=a4dc15728b95ac68&fccid=bee6abba453010ff&vjs=3,17 days ago
Junior UI/UX Designer,TULA Skincare,"New York, NY",,"1-3 years experience as a UI/UX designer.
Collaborate and communicate with product management, designers, and engineers to ensure the creation of tailored…",https://www.indeed.com//rc/clk?jk=fdc15fdc7c407785&fccid=8bd6400c4b7776b5&vjs=3,30+ days ago
UI/UX Designer,RAPS IT CONSULTING,"New York, NY",$37 - $60 an hour,"Individual designers may not possess all skills but should demonstrate deep expertise in 2 or more areas.
We are seeking experienced UX/UI Designers for our…",https://www.indeed.com//company/RAPS-IT-CONSULTING/jobs/Ui-Ux-Designer-a6c020b044cb9902?fccid=4fe29f6b8a19b6ad&vjs=3,5 days ago
"Senior Product Designer, Subscriptions",Conde Nast,"New York, NY",,"Experience providing guidance to associate designers.
We are a team of experience-designers with expertise in visual design, UX, interaction design, and…",https://www.indeed.com//rc/clk?jk=39b2fde3a301d067&fccid=7ca1385998532a85&vjs=3,6 days ago
Senior Designer,Cemtrex,"Brooklyn, NY","$75,000 - $85,000 a year",The senior designer is responsible for creating innovative and engaging designs for multiple subsidiaries to support our larger marketing campaigns and…,https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0BI5FSItB1SpCgRQnQJHmFPH6naWD9xqB2UGZX2D2fDF-Fxb2jOK9sDyDVwhc-WwpUDfMQooME29qm76lM-dSu6B6JrJQPw450M33oCWl-M61oxFLnyoNJvplkF6XLAldxyoLmGA1F_8pRP6L2581BzbwnKRlKCHAFVFNIz7e06F4HLUz12_xiKrB1ORmR6NoavRMhLa6rrJeGobflKietxrpUkSBuu81NRZq6sLBzyZVwNx3huL3trP2NRRtA8p8S5SK-NvojXhR-etSblIs75VCXPQTHH3HT90UamyXs95OyoPJ-EahcZ39UCOVVRRcsz0oMh129MlceHC4sJUu0Z_29Isj-T-05g-lhmkpdHhAPr7U5h4dXhGqxfG3oG08tkKbxuLj32aOYBZdUGeiYhogkuE_Eeq2Zi13cgXyGTd_Xzch13HTXGyNR2wR0rTcJgRUBMnrcqDOIpuLv-N3Sk&p=0&fvj=1&vjs=3,Active 2 days ago
Senior Product Designer,"G Mason Group, LLC","New York, NY",,"Product mixes include all things pet, (ie Apparel, Beds, Toys, Hardlines, Liquids, Softlines, etc).
Design toys, apparel, bedding, collars, accessories and…",https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0C65srZv58afY51pgXqALJnkzv85QtJX8gX_dwWdq3jbBDbgwThe59Sr0pLe1mSIB0FLKAuYCUDb-CHgtlaK508cPn7dnYoJh8dWpsCScDlYNLnTnRfQwhF-lEoGGi71lPrlbUO5PO0w7wYhrQLv66m8-l37PYEnFSDzzNyuVFyaUNZWw1Mmd7cmazgsPEBz2w869MqXSuR-3Lv1E66O5QwJWm4JpqP0nM9oWpPpFePvGu-mRcqbtiyuTVqMBfJsNZJWYJUgwsj6U6IDlMHAObNRW76KO0fAI0zlC0Vi0pw-LVrvIu7iDFKwARAbRHW4br3j3mUquZNdx1kGEAjxYxiPCOcsCbt1VmYwWQv3WYl2b-14kCWY9dwjui__l6glZsVNABohpjL0gpRk6qAgGDkCiHrDFmdFt2U-LEAxJ2DXJibIQFmp-en59twJGGmjIkp--lPV6VkKU6lPfi6rIH0&p=1&fvj=1&vjs=3,Active 3 days ago
UI/UX designer,ManageGo,"Brooklyn, NY","$55,000 - $120,000 a year","ManageGo is the smartest all-in-one tool for property management.
You’ll be a part of designing and implementing all of them, making sure that they look great…",https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DgvCuC-ixTn4QHyHXK4mWjXNvuWGzNkS2Ga0C7QEDoool9fHReAAAj6l9gQP-n5-hPV3p9Qf-9bennyVwk3vUTDP_r-dyR3x0dAqy8jlbkerTcFL23x8BSE2yOlxPnzgZG4a6M3tXWZG0PzD3YDFOArJiSu1yE6ZJxG8arn_aceASlOyEbWUHVnL3XbIhb7ugJQKEvWE2QcrWQlFb8jJcFgyF1r8XGAL9nJuhG_3l2q-1q4z__4i43yzLqW1W6MZtKhsYKS9S0muv9FV-fBt3ovaIpt0f9KYk-LdkrVHxklpC0sa6liNGvYDAXZWveMznT-eYk6obCGEQOXWEUuO3EpE_XFAcrZQIKjKwpsLUWOkAPaFbu2Y3ryHzxHJWXoRtuV_Nf3svLhItMAQDb_Ot-cqPfMx21a0YN2Ln2b4afFGwvkOphHxwwQRsGg6lyPhA=&p=2&fvj=1&vjs=3,Active 4 days ago
Senior UX/UI Designer,GoGoTech,"New York, NY","Up to $114,000 a year","Related keywords: ux designer, ux, senior ux designer, user experience designer, ui ux designer.
3+ years’ proven track record as a successful UX/UI designer…",https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0BVMfkTzzJvymq9hkptLvqt_jmxWehAOZYMuR_XCAZ_REww7nTcMlufsaLRickDiTqb9D4C2mPWJr_bn928YxYeoEcxbBJm_WUPt2rZOv20jR8bJzjJFJSM39VyYu4ugpLcl1_flH2eC64cA_u19okTnyDkhXVBfln-_LtxpDgG7N7NYVcWVEpSbUGxX5oGjgDT0k5g999QDAEcAsU1wirIyUTeI2jzoXbK2Zkc7YG_HoCBSKAYg2CxMIGk44hYk09gUkVGgWeVFtJJfxWolg0FVrMWDuWbYhcr4b_oTwaQ3NXbwlSvLCgEYSkV-EwpSGJU8sEpV1R4CXi_PbHEL7rSXp8jblwnRJQCcd3cZtoBg-60gCjRnfajxkHoP1UE1dFJSmYpuXIACascyj0cNGJzvkBBpVDS_w1QUONAMHdFzhczMsaSbT5r3LfyKZB2oy8r_R46FAckvNXeEOTV6uCJ&p=3&fvj=1&vjs=3,Active 2 days ago
User Experience Designer,Kroll,"New York, NY",,"As a UX Designer, you will support agile product development initiatives, working closely with product owners, the engineering team and other internal…",https://www.indeed.com//rc/clk?jk=a14fbc3fc0e7ec8d&fccid=2991547aff717aed&vjs=3,16 days ago
Jr UX Designer,TelTech,"New York, NY",,"You will work within multiple teams of Designers, Engineers, and Product Managers to drive UX goals throughout all phases of the product life cycle.",https://www.indeed.com//rc/clk?jk=397cb1dbb6ecda7d&fccid=dc696694435183e3&vjs=3,30+ days ago
Web UX/UI Designer,PGP (The Public Good Projects),"New York, NY","$65,000 - $80,000 a year","PGP (The Public Good Projects) is seeking a new role, a full-time Web UX/UI Designer who will report to the Director of Web and assist a lead UX/UI Designer.",https://www.indeed.com//rc/clk?jk=f2a91796988b7026&fccid=76466d81e815018d&vjs=3,30+ days ago
"CIB - UI Visual Designer, Vice President","JPMorgan Chase Bank, N.A.","New York, NY",,"Minimum of 5 years' experience working in a professional capacity as a visual designer.
As a design team, we delve into the problem-space by leveraging any one…",https://www.indeed.com//rc/clk?jk=0b83ea7c81f79141&fccid=aaf3b433897ea465&vjs=3,Today
"CWM - PFM - UX/Product Designer - Associate/Vice President - New York City/Dallas, TX/Miami, FL",Goldman Sachs,"New York, NY",,"Partnering with other UX/UI designers and developers to deploy user-friendly mobile-first customer experiences.
A passion for simplicity and user empathy.",https://www.indeed.com//rc/clk?jk=7f0edca39ad99b33&fccid=16a97ed26c75bf2d&vjs=3,5 days ago
Graphic Designer,Comcast,"Bloomfield, NJ",,"Comcast Advertising is seeking a graphic design virtuoso who is energized by the opportunity to bring brand guidelines to life, work on complicated projects and…",https://www.indeed.com//rc/clk?jk=afedc71b3830a260&fccid=ea25315ee9da22e5&vjs=3,10 days ago
User Experience Design Operations Associate,Prudential,"Newark, NJ",,"As a Design Operations Specialist , you will support and execute program management activities, in support for our design organization, partner with teams and…",https://www.indeed.com//rc/clk?jk=6c659f28c6233777&fccid=4144c0c6235e4037&vjs=3,11 days ago
Junior Designer,Organic,"New York, NY",,"As a Junior Designer, you are responsible for the conception and execution of high-quality, creative and professional-looking marketing and communications…",https://www.indeed.com//rc/clk?jk=3e8c0649bca0e3b9&fccid=5ea1a04b197eae01&vjs=3,30+ days ago
UX Designer: Experienced,Jane Street,"New York, NY",,Experienced with a wide enough range of industry tools to help us determine which ones are right for each job.,https://www.indeed.com//rc/clk?jk=f0e686eeb07ad385&fccid=0e38ef958e252f1e&vjs=3,4 days ago
Senior UX/UI Designer,DK Transit Services,"New York, NY","$85,000 - $95,000 a year","The Senior UX/UI Designer will be responsible for curating innovative designs for our website, digital ads, and other digital materials.",https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0BKgzQyzTF1Q9mOsR1amaS-juVGLjHt5Cdom-gEF9y-xV8YZYg85SiY6BTN0pYlgEIf9Tn22XCzn7xkp05a8NkKmFsoMJIcUVGa0n1KeMnbOABOlMStxLTP336fw9FeaDyKkjH-o-FCHor5K50Lo0hiBbHkxmb5Q0OuWA2a9CdYHb6IQWCpaNTwGmiBW5saBAmIjYaEJnNlC-9J89ItIIiwPXnM7SiHgMTEXvm1PBW7bc7UGVVt1nphn1XUHiGR21JfvVBGZL1qdCCTXm-_J50pQ9m6hHcI2_9Dhn5rJzoL_KRTIEp4lPxdTya5cQFqRw1DJwTAHvwFfu7p3XOq3TNmyrOfZbNkxHFqOZxeGG2RyVbq5gBlBfsGgAUlulrDTvYdZctKcEUOJUu-JSXjBbXTmxL6nlwPg2Sg1IsoGr5GoL_TV57Vynl49LMSvYjcregH7Ht-M2BRuOGZ-RWvQnTV&p=13&fvj=1&vjs=3,Active 11 days ago
UX Designer,Confidential,"New York, NY",,"Works alongside designers, engineers and product managers throughout all stages of the production cycle.
In this role, you should be an analytical and creative…",https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DfEb3tLA-01uhnmmQRYbZcufIwTaE_Jpi9tKb9TNt4c57MdyMaH29AleQSjk3PMH92brK2wO13vFl4bj5Tl-e88MViOHvlCXnfugi9Sf18ALKe6VTk2AnaWzf5Oh2qd3B1BFJ1M9Sp-N7zgUwdwi3cvXszJkADfPB033Z20e18wxaB_2IXkeJyWIZfcXSGYbQmablygHmXLccg6a4sM0CPIPj2O2Vxo9GSlH_TFvxppJMJVA73JSZ7AmNod-x28Zbf9tD1EZ26Inxn6Obj-whZxwAyVTCWyRJq09s-2YIBQeQba-4DTPIPjfQTLPW4U9jJ7uGA2ZU2nv-xArSLsxqd8vTARJbCvlrNFtbN92g8Es2Yu6saauy6g7jE7Yx69V3jLjHT3JIa2f5VfO_O8qlvmzGs8PqFYm5BuDh1tmOM7mRxIg6s6ARsNRRo102zaMFmAGwW2QsdTw==&p=14&fvj=1&vjs=3,30+ days ago
"Product Designer, Globalization",Disney Streaming Services,"New York, NY",,"This role will focus primarily on user experience, interaction design and user research, but will also require some UI design work.",https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DAFTyt7pbDCC2JPO79CSdi1dIb81yjczP5qsKcZIxgiQliY_kUaYmq44_d4xC_YRYUCV1icmHYHET_oyw9XOZGk7ZTvTJNK805H8srcWVOmZaOMgdjpQJG4v7tWjWaoIkp2S64aNtHqj2Dl0W-UMmGuJ5dr36IdeHCWZ17LXaLnkTgSgtIFF2iEF4W9wWVZb2UVuWKqHD2yOeR3FCWVHFN4cAf9pPKbWScrnbSLeb87hSwyXOn7M6VxKpLzq_MhaR3duZGmILLm3gK4VYKj7VVCXrx6X4JnCn2NhO7v22IQxXl2snCNWZyimxkB69PV8viuJCZfQl8gEq0drS36VgaLIiiqGU6FiY3HdyhTAc_z9vGQbbaEPvmGdg69PUKcqfPDrgcC2h9Ww==&p=15&fvj=0&vjs=3,Just posted
Web Designer,Medly Pharmacy,"Brooklyn, NY","$50,000 - $75,000 a year","+3 years experience as a web designer, or digital designer.
This role will help make updates and improvements to our homepage, while developing specialized…",https://www.indeed.com//company/Medly-Pharmacy/jobs/Web-Designer-ff8b7d8a6b53eaf3?fccid=c392217ba496c768&vjs=3,30+ days ago
CWM - Wealth - UX Designer - Analyst - New York City,Goldman Sachs,"New York, NY",,"As a creative and designer, you’ll understand the needs of users and reframe them into delightful experiences for our customers, with a keen attention to detail…",https://www.indeed.com//rc/clk?jk=fa59c914168f88ed&fccid=16a97ed26c75bf2d&vjs=3,30+ days ago
"Product Designer, NYT Cooking",The New York Times,"New York, NY",,"NYT Cooking is looking for a Product Designer to execute the vision, user experience, and visual design of new and existing features for our website and apps.",https://www.indeed.com//rc/clk?jk=04349876a9281b2a&fccid=1b50fcfb150b1b48&vjs=3,11 days ago
User Experience Designer,Salesforce,"New York, NY","$82,400 a year","As part of Salesforce Customer Success Group (CSG), our designers follow a consultant mindset including understanding our customers’ business, their objectives…",https://www.indeed.com//rc/clk?jk=d5adde85fbcbf446&fccid=4027cfd917e1ee29&vjs=3,30+ days ago
"Senior Product Designer, Trial Experience",Squarespace,"New York, NY",,"Product designers at Squarespace are embedded within teams alongside product managers and engineers.
The Trial Experience team is responsible for guiding,…",https://www.indeed.com//rc/clk?jk=6e835628ebe3e164&fccid=10c1f2532daaed15&vjs=3,11 days ago
Experience Designer,Accenture,"New York, NY",,"Collaborate effectively with remote and onsite team members, including but not limited to designers, researchers, project/product managers, QA, developers, and…",https://www.indeed.com//rc/clk?jk=8e315887f5531ae9&fccid=a4e4e2eaf26690c9&vjs=3,30+ days ago
Visual Designer II,frog,"New York, NY",,"Visual Designers are responsible for the design and orchestration of visual elements in a systemic composition.
Design brand identities and brand collateral.",https://www.indeed.com//rc/clk?jk=69edbab62300f4dc&fccid=df5c2d99c40d54fe&vjs=3,30+ days ago
UX Researcher/Designer,Balyasny,"New York, NY",,"Distill high-level usability requirements into executable stories for design and rapid prototyping.
Translate user feedback into design requirements.",https://www.indeed.com//rc/clk?jk=04909fe1de6f2f0f&fccid=3187d6d05b329ebf&vjs=3,20 days ago
Product Designer,Facebook,"New York, NY",,"You will be expected to utilize your full range of product design, interaction design, and visual design skills.",https://www.indeed.com//rc/clk?jk=48167cd637dd4e6a&fccid=1639254ea84748b5&vjs=3,30+ days ago
"Product Designer, Mobile & Personalization",Ralph Lauren,"New York, NY",,Ralph Lauren is seeking a creative and collaborative UX designer to lead the user experience discovery and execution of global website products with a focus on…,https://www.indeed.com//rc/clk?jk=61672e10e10ba5e3&fccid=535de7c767791408&vjs=3,30+ days ago
Senior UX Designer,Deloitte,"New York, NY",,Work with our clients to understand their business requirements in the broader context of their digital strategy and advocate for the customer by developing…,https://www.indeed.com//rc/clk?jk=f3356e3d1fd999db&fccid=9e215d88a6b33622&vjs=3,1 day ago
"Product Designer, Square Appointments",Square,"New York, NY",,"This will be a cross-functional role where you will work with other designers, product managers, analysts, and engineers.",https://www.indeed.com//rc/clk?jk=755cc25bbd48a4a9&fccid=09abad886b83c501&vjs=3,5 days ago
"Product Designer, Editorial Product Experience","Vox Media, LLC","New York, NY",,"Product Designer, Editorial Product Experience (NYM & Vox).
Our jobs are well compensated and come with excellent and progressive benefits—including flexible…",https://www.indeed.com//rc/clk?jk=f90ae173b273061d&fccid=423dc0697be201e8&vjs=3,30+ days ago
UX Product Designer - In-person Transaction teams,Capital One - US,"New York, NY",,"You will be on point for creating new ways for our ambassadors to better serve our customers by transitioning customer’s analog experiences into digital ones,…",https://www.indeed.com//rc/clk?jk=52daf42f53b284d1&fccid=b85c5070c3d3d8c8&vjs=3,11 days ago
Physical UX Designer,Gensler,"New York, NY",,"Deliver and communicate design intent packages for broader internal teams (e.g. non-DXD) and external partners (e.g. fabricators, AV integrators, lighting…",https://www.indeed.com//rc/clk?jk=039d5bab92d01901&fccid=2794a4cf4bd23b43&vjs=3,10 days ago
